Summary: {Weight} {token}: {words[0:10]}
0.0788301    5 game           : 狐拳, 鉄拳, 拳玉, じゃん拳, 拳
0.0770144    1 backhand       : 裏拳
0.0493589    1 headman        : 狐拳
0.0453015    1 scissors       : 狐拳
0.0411040    1 fox            : 狐拳
0.0405977    1 franchise      : 鉄拳
0.0397372    2 hand           : 狐拳, 拳
0.0367333    1 similar        : 狐拳
0.0361300    1 village        : 狐拳
0.0360047    1 rock           : 狐拳
0.0343298    3 fist           : 拳固, 握り拳, 拳骨
0.0326184    1 karate         : 裏拳
0.0310465    1 media          : 鉄拳
0.0299037    1 chop           : 裏拳
0.0284569    1 paper          : 狐拳
0.0278352    1 video          : 鉄拳
0.0260292    1 series         : 鉄拳
0.0240410    1 film           : 鉄拳
0.0227344    1 blow           : 裏拳
0.0193890    1 slug           : 虫拳
0.0185893    1 forefinger     : 虫拳
0.0165999    1 bilboquet      : 拳玉
0.0165354    1 frog           : 虫拳
0.0164226    1 variant        : 虫拳
0.0162148    1 thumb          : 虫拳
0.0157586    2 Japanese       : 虫拳, 拳玉
0.0154841    1 martial        : 拳法
0.0151683    1 snake          : 虫拳
0.0146285    1 boxing         : 拳闘
0.0146155    1 finger         : 虫拳
0.0120531    1 little         : 虫拳
0.0115466    1 bare           : 空拳
0.0113202    1 nothing        : 空拳
0.0110913    1 kung           : 拳法
0.0110888    1 handgun        : 拳銃
0.0103585    1 pistol         : 拳銃
0.0101257    1 fu             : 拳法
0.0052030    1 Chinese        : 拳法

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0788301    5 game
	game WORD[ 1,   1]: 0.0304312 狐拳
	game WORD[ 1,   2]: 0.0103438 鉄拳
	game WORD[ 1,   3]: 0.0093773 拳玉
	game WORD[ 1,   4]: 0.0062934 じゃん拳
	game WORD[ 1,   5]: 0.0060203 拳
TOKEN[ 2]: 0.0770144    1 backhand
	backhand WORD[ 2,   1]: 0.0770144 裏拳
TOKEN[ 3]: 0.0493589    1 headman
	headman WORD[ 3,   1]: 0.0493589 狐拳
TOKEN[ 4]: 0.0453015    1 scissors
	scissors WORD[ 4,   1]: 0.0453015 狐拳
TOKEN[ 5]: 0.0411040    1 fox
	fox WORD[ 5,   1]: 0.0411040 狐拳
TOKEN[ 6]: 0.0405977    1 franchise
	franchise WORD[ 6,   1]: 0.0202988 鉄拳
TOKEN[ 7]: 0.0397372    2 hand
	hand WORD[ 7,   1]: 0.0284719 狐拳
	hand WORD[ 7,   2]: 0.0056326 拳
TOKEN[ 8]: 0.0367333    1 similar
	similar WORD[ 8,   1]: 0.0367333 狐拳
TOKEN[ 9]: 0.0361300    1 village
	village WORD[ 9,   1]: 0.0361300 狐拳
TOKEN[10]: 0.0360047    1 rock
	rock WORD[10,   1]: 0.0360047 狐拳
TOKEN[11]: 0.0343298    3 fist
	fist WORD[11,   1]: 0.0143066 拳固
	fist WORD[11,   2]: 0.0108147 握り拳
	fist WORD[11,   3]: 0.0092084 拳骨
TOKEN[12]: 0.0326184    1 karate
	karate WORD[12,   1]: 0.0326184 裏拳
TOKEN[13]: 0.0310465    1 media
	media WORD[13,   1]: 0.0155232 鉄拳
TOKEN[14]: 0.0299037    1 chop
	chop WORD[14,   1]: 0.0299037 裏拳
TOKEN[15]: 0.0284569    1 paper
	paper WORD[15,   1]: 0.0284569 狐拳
TOKEN[16]: 0.0278352    1 video
	video WORD[16,   1]: 0.0139176 鉄拳
TOKEN[17]: 0.0260292    1 series
	series WORD[17,   1]: 0.0130146 鉄拳
TOKEN[18]: 0.0240410    1 film
	film WORD[18,   1]: 0.0120205 鉄拳
TOKEN[19]: 0.0227344    1 blow
	blow WORD[19,   1]: 0.0227344 裏拳
TOKEN[20]: 0.0193890    1 slug
	slug WORD[20,   1]: 0.0193890 虫拳
TOKEN[21]: 0.0185893    1 forefinger
	forefinger WORD[21,   1]: 0.0185893 虫拳
TOKEN[22]: 0.0165999    1 bilboquet
	bilboquet WORD[22,   1]: 0.0165999 拳玉
TOKEN[23]: 0.0165354    1 frog
	frog WORD[23,   1]: 0.0165354 虫拳
TOKEN[24]: 0.0164226    1 variant
	variant WORD[24,   1]: 0.0164226 虫拳
TOKEN[25]: 0.0162148    1 thumb
	thumb WORD[25,   1]: 0.0162148 虫拳
TOKEN[26]: 0.0157586    2 Japanese
	Japanese WORD[26,   1]: 0.0086028 虫拳
	Japanese WORD[26,   2]: 0.0071559 拳玉
TOKEN[27]: 0.0154841    1 martial
	martial WORD[27,   1]: 0.0154841 拳法
TOKEN[28]: 0.0151683    1 snake
	snake WORD[28,   1]: 0.0151683 虫拳
TOKEN[29]: 0.0146285    1 boxing
	boxing WORD[29,   1]: 0.0146285 拳闘
TOKEN[30]: 0.0146155    1 finger
	finger WORD[30,   1]: 0.0146155 虫拳
TOKEN[31]: 0.0120531    1 little
	little WORD[31,   1]: 0.0120531 虫拳
TOKEN[32]: 0.0115466    1 bare
	bare WORD[32,   1]: 0.0115466 空拳
TOKEN[33]: 0.0113202    1 nothing
	nothing WORD[33,   1]: 0.0113202 空拳
TOKEN[34]: 0.0110913    1 kung
	kung WORD[34,   1]: 0.0110913 拳法
TOKEN[35]: 0.0110888    1 handgun
	handgun WORD[35,   1]: 0.0110888 拳銃
TOKEN[36]: 0.0103585    1 pistol
	pistol WORD[36,   1]: 0.0103585 拳銃
TOKEN[37]: 0.0101257    1 fu
	fu WORD[37,   1]: 0.0101257 拳法
TOKEN[38]: 0.0052030    1 Chinese
	Chinese WORD[38,   1]: 0.0052030 拳法
