Summary: {Weight} {token}: {words[0:10]}
0.2320707   47 evening        : 夕礼, 夕霞, 夕冷え, 夕景, 夕勤, 夕ごはん, 夕ご飯, 夕御飯, 夕立, 夕立ち, ...
0.0398540    5 supper         : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯
0.0352625    6 dinner         : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯, 夕食
0.0347117   10 dusk           : 夕やみ, 夕闇, 夕蝉, 夕蟬, 夕景, 夕ぐれ, 夕暮, 夕暮れ, 夕がた, 夕方
0.0306102    6 meal           : 夕ごはん, 夕ご飯, 夕御飯, 夕餉, 夕飯, 夕食
0.0303574    1 Korean         : 秋夕
0.0277366    7 twilight       : 夕空, 夕やみ, 夕闇, 夕まぐれ, 夕ぐれ, 夕暮, 夕暮れ
0.0243091    1 assembly       : 夕礼
0.0225142    4 sunset         : 夕雲, 夕焼, 夕焼け, 夕映え
0.0223999    3 cool           : 夕冷え, 夕涼み, 夕涼
0.0212526    3 mist           : 夕霞, 夕靄, 夕霧
0.0209142    3 Star           : 七夕祭, 七夕祭り, 七夕
0.0203064    4 sun            : 夕影, 夕日, 夕陽, 夕景
0.0201248    3 July           : 七夕祭, 七夕祭り, 七夕
0.0199630    3 August         : 七夕祭, 七夕祭り, 七夕
0.0181221    1 celebrated     : 秋夕
0.0178440    1 company        : 夕礼
0.0168230    2 shower         : 夕立, 夕立ち
0.0150483    2 breeze         : 夕霞, 夕風
0.0139128    1 lunar          : 秋夕
0.0137975    2 day            : 秋夕, 旦夕
0.0134420    1 shaku          : 夕
0.0134325    1 calendar       : 秋夕
0.0124718    1 month          : 秋夕
0.0116430    4 setting        : 夕景, 夕影, 夕日, 夕陽
0.0107012    1 sky            : 夕空
0.0101303    1 unit           : 夕
0.0096957    1 chill          : 夕冷え
0.0096650    3 glow           : 夕映え, 夕焼, 夕焼け
0.0093746    1 shift          : 夕勤
0.0090884    2 cicada         : 夕蝉, 夕蟬
0.0084911    4 night          : 旦夕, 昨夕, 夕べ, 朝夕
0.0084578    2 afternoon      : 夕立, 夕立ち
0.0082710    1 traditional    : 夕
0.0080304    3 light          : 夕景, 夕影, 夕明り
0.0075910    3 morning        : 朝夕, 旦夕, 朝な夕な
0.0073123    2 tide           : 夕汐, 夕潮
0.0072831    2 singing        : 夕蝉, 夕蟬
0.0070737    2 afterglow      : 夕焼, 夕焼け
0.0069801    2 sudden         : 夕立, 夕立ち
0.0069238    1 haze           : 夕靄
0.0068998    2 yesterday      : 昨夕, 夕べ
0.0067455    2 summer         : 夕立, 夕立ち
0.0063734    2 heavy          : 夕立, 夕立ち
0.0059561    1 moon           : 夕月
0.0053973    1 cloud          : 夕雲
0.0050555    1 volume         : 夕
0.0048933    1 square         : 夕
0.0046808    2 last           : 昨夕, 夕べ
0.0043311    1 lit            : 夕影
0.0043003    1 area           : 夕
0.0041288    2 red            : 夕焼, 夕焼け
0.0040658    1 landscape      : 夕景
0.0038708    1 moonflower     : 夕顔
0.0038551    1 hour           : 夕刻
0.0038099    1 brink          : 旦夕
0.0036717    1 scene          : 夕景
0.0035338    1 Lagenaria      : 夕顔
0.0035196    1 calm           : 夕凪
0.0034667    1 alba           : 夕顔
0.0034100    1 Ipomoea        : 夕顔
0.0033609    1 calabash       : 夕顔
0.0033231    1 figure         : 夕影
0.0031297    1 gourd          : 夕顔
0.0030856    1 clear          : 夕晴れ
0.0027176    1 bottle         : 夕顔
0.0026811    1 daily          : 夕菅
0.0026060    1 tonight        : 今夕
0.0019660    1 paper          : 夕刊
0.0011710    1 one            : 一夕

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2320707   47 evening
	evening WORD[ 1,   1]: 0.0193617 夕礼
	evening WORD[ 1,   2]: 0.0153357 夕霞
	evening WORD[ 1,   3]: 0.0147497 夕冷え
	evening WORD[ 1,   4]: 0.0101005 夕景
	evening WORD[ 1,   5]: 0.0082596 夕勤
	evening WORD[ 1,   6]: 0.0074932 夕ごはん
	evening WORD[ 1,   7]: 0.0074932 夕ご飯
	evening WORD[ 1,   8]: 0.0074932 夕御飯
	evening WORD[ 1,   9]: 0.0067364 夕立
	evening WORD[ 1,  10]: 0.0067364 夕立ち
	evening WORD[ 1,  11]: 0.0067359 夕涼み
	evening WORD[ 1,  12]: 0.0067359 夕涼
	evening WORD[ 1,  13]: 0.0067340 夕刻
	evening WORD[ 1,  14]: 0.0057197 夕月
	evening WORD[ 1,  15]: 0.0053067 夕靄
	evening WORD[ 1,  16]: 0.0053067 夕空
	evening WORD[ 1,  17]: 0.0051732 夕霧
	evening WORD[ 1,  18]: 0.0050441 夕風
	evening WORD[ 1,  19]: 0.0050332 夕雲
	evening WORD[ 1,  20]: 0.0047650 夕べ
	evening WORD[ 1,  21]: 0.0033685 夕まぐれ
	evening WORD[ 1,  22]: 0.0033684 夕晴れ
	evening WORD[ 1,  23]: 0.0033684 夕凪
	evening WORD[ 1,  24]: 0.0033673 夕汐
	evening WORD[ 1,  25]: 0.0033673 夕潮
	evening WORD[ 1,  26]: 0.0033668 夕餉
	evening WORD[ 1,  27]: 0.0033665 夕影
	evening WORD[ 1,  28]: 0.0033657 夕明り
	evening WORD[ 1,  29]: 0.0032529 毎夕
	evening WORD[ 1,  30]: 0.0028979 旦夕
	evening WORD[ 1,  31]: 0.0027316 昨夕
	evening WORD[ 1,  32]: 0.0025357 一夕
	evening WORD[ 1,  33]: 0.0023826 夕焼
	evening WORD[ 1,  34]: 0.0023826 夕焼け
	evening WORD[ 1,  35]: 0.0023825 夕日
	evening WORD[ 1,  36]: 0.0023824 夕陽
	evening WORD[ 1,  37]: 0.0023824 夕飯
	evening WORD[ 1,  38]: 0.0023814 夕食
	evening WORD[ 1,  39]: 0.0023810 夕ぐれ
	evening WORD[ 1,  40]: 0.0023809 夕暮
	evening WORD[ 1,  41]: 0.0023809 夕暮れ
	evening WORD[ 1,  42]: 0.0023806 夕がた
	evening WORD[ 1,  43]: 0.0023805 夕方
	evening WORD[ 1,  44]: 0.0023805 夕刊
	evening WORD[ 1,  45]: 0.0017555 今夕
	evening WORD[ 1,  46]: 0.0015330 朝夕
	evening WORD[ 1,  47]: 0.0015327 朝な夕な
TOKEN[ 2]: 0.0398540    5 supper
	supper WORD[ 2,   1]: 0.0105791 夕ごはん
	supper WORD[ 2,   2]: 0.0105790 夕ご飯
	supper WORD[ 2,   3]: 0.0105790 夕御飯
	supper WORD[ 2,   4]: 0.0047533 夕餉
	supper WORD[ 2,   5]: 0.0033636 夕飯
TOKEN[ 3]: 0.0352625    6 dinner
	dinner WORD[ 3,   1]: 0.0086321 夕ごはん
	dinner WORD[ 3,   2]: 0.0086321 夕ご飯
	dinner WORD[ 3,   3]: 0.0086320 夕御飯
	dinner WORD[ 3,   4]: 0.0038785 夕餉
	dinner WORD[ 3,   5]: 0.0027445 夕飯
	dinner WORD[ 3,   6]: 0.0027433 夕食
TOKEN[ 4]: 0.0347117   10 dusk
	dusk WORD[ 4,   1]: 0.0040679 夕やみ
	dusk WORD[ 4,   2]: 0.0040679 夕闇
	dusk WORD[ 4,   3]: 0.0040674 夕蝉
	dusk WORD[ 4,   4]: 0.0040674 夕蟬
	dusk WORD[ 4,   5]: 0.0040658 夕景
	dusk WORD[ 4,   6]: 0.0028753 夕ぐれ
