Summary: {Weight} {token}: {words[0:10]}
0.0868403    1 minute         : 毎分
0.0858762    1 winter         : 毎冬
0.0820182    5 time           : 毎次, 毎々, 毎毎, 毎度, 毎回
0.0765807    1 spring         : 毎春
0.0567136    1 issue          : 毎号
0.0551876    1 summer         : 毎夏
0.0542787    2 evening        : 毎夕, 毎夜
0.0478220    1 weekend        : 毎
0.0469650    1 number         : 毎号
0.0383241    2 night          : 毎夜, 毎晩
0.0378541    1 month          : 毎月
0.0315647    1 term           : 毎期
0.0309573    1 meal           : 毎食
0.0288610    1 continued      : 毎度
0.0274824    1 patronage      : 毎度
0.0254509    1 week           : 毎週
0.0248335    1 thank          : 毎度
0.0238978    1 hour           : 毎時
0.0221192    1 morning        : 毎朝
0.0220444    1 autumn         : 毎秋
0.0202584    1 round          : 毎回
0.0192228    1 second         : 毎秒
0.0190890    1 fall           : 毎秋
0.0187559    1 year           : 毎年
0.0170019    1 day            : 毎日

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0868403    1 minute
	minute WORD[ 1,   1]: 0.0868403 毎分
TOKEN[ 2]: 0.0858762    1 winter
	winter WORD[ 2,   1]: 0.0858762 毎冬
TOKEN[ 3]: 0.0820182    5 time
	time WORD[ 3,   1]: 0.0217956 毎次
	time WORD[ 3,   2]: 0.0150569 毎々
	time WORD[ 3,   3]: 0.0150568 毎毎
	time WORD[ 3,   4]: 0.0150562 毎度
	time WORD[ 3,   5]: 0.0150528 毎回
TOKEN[ 4]: 0.0765807    1 spring
	spring WORD[ 4,   1]: 0.0765807 毎春
TOKEN[ 5]: 0.0567136    1 issue
	issue WORD[ 5,   1]: 0.0567136 毎号
TOKEN[ 6]: 0.0551876    1 summer
	summer WORD[ 6,   1]: 0.0551876 毎夏
TOKEN[ 7]: 0.0542787    2 evening
	evening WORD[ 7,   1]: 0.0320983 毎夕
	evening WORD[ 7,   2]: 0.0221804 毎夜
TOKEN[ 8]: 0.0478220    1 weekend
	weekend WORD[ 8,   1]: 0.0239110 毎
TOKEN[ 9]: 0.0469650    1 number
	number WORD[ 9,   1]: 0.0469650 毎号
TOKEN[10]: 0.0383241    2 night
	night WORD[10,   1]: 0.0191651 毎夜
	night WORD[10,   2]: 0.0191591 毎晩
TOKEN[11]: 0.0378541    1 month
	month WORD[11,   1]: 0.0378541 毎月
TOKEN[12]: 0.0315647    1 term
	term WORD[12,   1]: 0.0315647 毎期
TOKEN[13]: 0.0309573    1 meal
	meal WORD[13,   1]: 0.0309573 毎食
TOKEN[14]: 0.0288610    1 continued
	continued WORD[14,   1]: 0.0288610 毎度
TOKEN[15]: 0.0274824    1 patronage
	patronage WORD[15,   1]: 0.0274824 毎度
TOKEN[16]: 0.0254509    1 week
	week WORD[16,   1]: 0.0254509 毎週
TOKEN[17]: 0.0248335    1 thank
	thank WORD[17,   1]: 0.0248335 毎度
TOKEN[18]: 0.0238978    1 hour
	hour WORD[18,   1]: 0.0238978 毎時
TOKEN[19]: 0.0221192    1 morning
	morning WORD[19,   1]: 0.0221192 毎朝
TOKEN[20]: 0.0220444    1 autumn
	autumn WORD[20,   1]: 0.0220444 毎秋
TOKEN[21]: 0.0202584    1 round
	round WORD[21,   1]: 0.0202584 毎回
TOKEN[22]: 0.0192228    1 second
	second WORD[22,   1]: 0.0192228 毎秒
TOKEN[23]: 0.0190890    1 fall
	fall WORD[23,   1]: 0.0190890 毎秋
TOKEN[24]: 0.0187559    1 year
	year WORD[24,   1]: 0.0187559 毎年
TOKEN[25]: 0.0170019    1 day
	day WORD[25,   1]: 0.0170019 毎日
