Summary: {Weight} {token}: {words[0:10]}
0.2007246    2 fashionable    : 今い, 今めかしい
0.1811863    1 stylish        : 今い
0.1658049    1 hip            : 今い
0.1520163    4 current        : 今い, 今茲, 今カノ, 今様
0.0238437    8 moment         : 今さっき, ただ今, 只今, 唯今, 即今, 今しがた, 今し方, 今方
0.0221824   16 present        : 今世, 目今, 方今, 当今, 今昔, 今次, 今上, 現今, ただ今, 只今, ...
0.0213830    3 today          : 今日明日, 昨日今日, 今日
0.0133259    8 nowadays       : 方今, 当今, 今日び, 今日日, 昨今, 今日, 今どき, 今時
0.0131489    7 day            : 今日明日, 今世, 今どき, 今時, 現今, 今度, 今日
0.0130108    1 tomorrow       : 今日明日
0.0126364    1 yesterday      : 昨日今日
0.0122652    4 hereafter      : 而今, 爾今, 自今, 今後
0.0104891   10 time           : 今度, 方今, 今般, 今次, 今回, 今どき, 今時, 今ごろ, 今頃, 今
0.0104156    4 year           : 今茲, 今春, 今秋, 今年
0.0091275    5 modern         : 今作, 今様, 古今, 今どき, 今時
0.0067134    5 evening        : 今晩は, 今夕, 今夜, 今晩, 今宵
0.0066599    4 morning        : 今朝がた, 今朝方, 今暁, 今朝
0.0055668    4 tonight        : 今夕, 今夜, 今晩, 今宵
0.0052863    2 two            : 今日明日, 今様
0.0049877    4 days           : 当今, 今日, 今どき, 今時
0.0045022    3 minute         : ただ今, 只今, 唯今
0.0044758    1 work           : 今作
0.0037393    2 world          : 今世, 今生
0.0035324    3 home           : ただ今, 只今, 唯今
0.0034651    2 life           : 今世, 今生
0.0034211    3 times          : 古今, 今どき, 今時
0.0031998    1 periodical     : 今号
0.0031702    1 generation     : 今世
0.0031197    1 based          : 今作
0.0029647    3 last           : 今際, 今冬, 今夏
0.0029606    1 title          : 今作
0.0029205    2 good           : 今晩は, 今一
0.0028172    1 winter         : 今冬
0.0028167    1 summer         : 今夏
0.0027566    3 next           : 今度, 今冬, 今夏
0.0027460    1 emperor        : 今上
0.0026188    2 afresh         : 今さら, 今更
0.0024417    1 style          : 今様
0.0024050    2 past           : 今昔, 古今
0.0022896    1 old            : 今作
0.0022201    2 anew           : 今さら, 今更
0.0022174    1 prince         : 今宮
0.0022089    1 issue          : 今号
0.0021028    1 born           : 今宮
0.0020657    1 contemporary   : 今様
0.0019194    1 branch         : 今宮
0.0019188    1 autumn         : 今秋
0.0018882    1 number         : 今号
0.0018025    1 divided        : 今様
0.0017882    1 recent         : 今次
0.0017357    2 late           : 今さら, 今更
0.0016920    1 imperial       : 今宮
0.0016867    1 shrine         : 今宮
0.0016824    1 dawn           : 今暁
0.0016647    1 spring         : 今春
0.0016242    2 stage          : 今さら, 今更
0.0016160    1 fashion        : 今様
0.0016100    1 verse          : 今様
0.0015614    1 hour           : 今際
0.0013319    1 age            : 現今
0.0012867    1 new            : 今次
0.0011840    1 week           : 今週
0.0011768    1 form           : 今様
0.0011245    1 death          : 今際
0.0009177    1 season         : 今季
0.0009134    1 term           : 今期
0.0008627    1 month          : 今月
0.0008469    1 ancient        : 古今
0.0008157    1 fall           : 今秋
0.0007672    1 right          : 今一
0.0006298    1 one            : 今際

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.2007246    2 fashionable
	fashionable WORD[ 1,   1]: 0.1930062 今い
	fashionable WORD[ 1,   2]: 0.0077184 今めかしい
TOKEN[ 2]: 0.1811863    1 stylish
	stylish WORD[ 2,   1]: 0.1811863 今い
TOKEN[ 3]: 0.1658049    1 hip
	hip WORD[ 3,   1]: 0.1658049 今い
TOKEN[ 4]: 0.1520163    4 current
	current WORD[ 4,   1]: 0.1416513 今い
	current WORD[ 4,   2]: 0.0046764 今茲
	current WORD[ 4,   3]: 0.0042793 今カノ
	current WORD[ 4,   4]: 0.0014092 今様
TOKEN[ 5]: 0.0238437    8 moment
	moment WORD[ 5,   1]: 0.0102052 今さっき
	moment WORD[ 5,   2]: 0.0019919 ただ今
	moment WORD[ 5,   3]: 0.0019919 只今
	moment WORD[ 5,   4]: 0.0019919 唯今
	moment WORD[ 5,   5]: 0.0016002 即今
	moment WORD[ 5,   6]: 0.0013583 今しがた
	moment WORD[ 5,   7]: 0.0013583 今し方
	moment WORD[ 5,   8]: 0.0013540 今方
TOKEN[ 6]: 0.0221824   16 present
	present WORD[ 6,   1]: 0.0025298 今世
	present WORD[ 6,   2]: 0.0016486 目今
	present WORD[ 6,   3]: 0.0016072 方今
	present WORD[ 6,   4]: 0.0014687 当今
	present WORD[ 6,   5]: 0.0013946 今昔
	present WORD[ 6,   6]: 0.0013945 今次
	present WORD[ 6,   7]: 0.0013554 今上
	present WORD[ 6,   8]: 0.0013529 現今
	present WORD[ 6,   9]: 0.0009377 ただ今
	present WORD[ 6,  10]: 0.0009377 只今
	present WORD[ 6,  11]: 0.0009377 唯今
	present WORD[ 6,  12]: 0.0008793 今期
	present WORD[ 6,  13]: 0.0008729 古今
	present WORD[ 6,  14]: 0.0007856 今どき
	present WORD[ 6,  15]: 0.0007856 今時
	present WORD[ 6,  16]: 0.0007854 今
TOKEN[ 7]: 0.0213830    3 today
	today WORD[ 7,   1]: 0.0133733 今日明日
	today WORD[ 7,   2]: 0.0067082 昨日今日
	today WORD[ 7,   3]: 0.0013016 今日
TOKEN[ 8]: 0.0133259    8 nowadays
	nowadays WORD[ 8,   1]: 0.0022200 方今
	nowadays WORD[ 8,   2]: 0.0020286 当今
	nowadays WORD[ 8,   3]: 0.0017095 今日び
	nowadays WORD[ 8,   4]: 0.0017095 今日日
	nowadays WORD[ 8,   5]: 0.0012260 昨今
	nowadays WORD[ 8,   6]: 0.0011770 今日
	nowadays WORD[ 8,   7]: 0.0010851 今どき
	nowadays WORD[ 8,   8]: 0.0010851 今時
TOKEN[ 9]: 0.0131489    7 day
	day WORD[ 9,   1]: 0.0039143 今日明日
	day WORD[ 9,   2]: 0.0022620 今世
	day WORD[ 9,   3]: 0.0014048 今どき
	day WORD[ 9,   4]: 0.0014048 今時
	day WORD[ 9,   5]: 0.0012097 現今
	day WORD[ 9,   6]: 0.0007864 今度
	day WORD[ 9,   7]: 0.0007619 今日
TOKEN[10]: 0.0130108    1 tomorrow
	tomorrow WORD[10,   1]: 0.0130108 今日明日
TOKEN[11]: 0.0126364    1 yesterday
	yesterday WORD[11,   1]: 0.0126364 昨日今日
TOKEN[12]: 0.0122652    4 hereafter
	hereafter WORD[12,   1]: 0.0069493 而今
