Summary: {Weight} {token}: {words[0:10]}
0.5672360    1 axe            : 斧斤
0.1223178    3 weight         : 斤量, 斤, 斤目
0.0329353    1 impost         : 斤量
0.0288651    1 measured       : 斤量
0.0264841    1 thickness      : 斤量
0.0256394    1 assigned       : 斤量
0.0255188    1 unit           : 斤
0.0218921    1 basis          : 斤量
0.0207832    1 catty          : 斤
0.0201436    1 measure        : 斤量
0.0194990    1 loaf           : 斤
0.0171779    1 kin            : 斤
0.0165171    1 bread          : 斤
0.0156943    1 paper          : 斤量
0.0149739    1 pound          : 斤
0.0139048    1 used           : 斤量
0.0104175    1 traditional    : 斤

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.5672360    1 axe
	axe WORD[ 1,   1]: 0.5672360 斧斤
TOKEN[ 2]: 0.1223178    3 weight
	weight WORD[ 2,   1]: 0.0781360 斤量
	weight WORD[ 2,   2]: 0.0246531 斤
	weight WORD[ 2,   3]: 0.0195287 斤目
TOKEN[ 3]: 0.0329353    1 impost
	impost WORD[ 3,   1]: 0.0329353 斤量
TOKEN[ 4]: 0.0288651    1 measured
	measured WORD[ 4,   1]: 0.0288651 斤量
TOKEN[ 5]: 0.0264841    1 thickness
	thickness WORD[ 5,   1]: 0.0264841 斤量
TOKEN[ 6]: 0.0256394    1 assigned
	assigned WORD[ 6,   1]: 0.0256394 斤量
TOKEN[ 7]: 0.0255188    1 unit
	unit WORD[ 7,   1]: 0.0255188 斤
TOKEN[ 8]: 0.0218921    1 basis
	basis WORD[ 8,   1]: 0.0218921 斤量
TOKEN[ 9]: 0.0207832    1 catty
	catty WORD[ 9,   1]: 0.0207832 斤
TOKEN[10]: 0.0201436    1 measure
	measure WORD[10,   1]: 0.0201436 斤量
TOKEN[11]: 0.0194990    1 loaf
	loaf WORD[11,   1]: 0.0194990 斤
TOKEN[12]: 0.0171779    1 kin
	kin WORD[12,   1]: 0.0171779 斤
TOKEN[13]: 0.0165171    1 bread
	bread WORD[13,   1]: 0.0165171 斤
TOKEN[14]: 0.0156943    1 paper
	paper WORD[14,   1]: 0.0156943 斤量
TOKEN[15]: 0.0149739    1 pound
	pound WORD[15,   1]: 0.0149739 斤
TOKEN[16]: 0.0139048    1 used
	used WORD[16,   1]: 0.0139048 斤量
TOKEN[17]: 0.0104175    1 traditional
	traditional WORD[17,   1]: 0.0104175 斤
