Summary: {Weight} {token}: {words[0:10]}
0.3849163    1 hereafter      : 而今
0.1923210    2 postscript     : 追而書, 追而書き
0.0872131    1 pretended      : 似而非
0.0777417    1 age            : 而立
0.0704741    1 moreover       : 而も
0.0673421    1 mock           : 似而非
0.0647719    1 sham           : 似而非
0.0552198    1 false          : 似而非

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.3849163    1 hereafter
	hereafter WORD[ 1,   1]: 0.3849163 而今
TOKEN[ 2]: 0.1923210    2 postscript
	postscript WORD[ 2,   1]: 0.0961606 追而書
	postscript WORD[ 2,   2]: 0.0961604 追而書き
TOKEN[ 3]: 0.0872131    1 pretended
	pretended WORD[ 3,   1]: 0.0872131 似而非
TOKEN[ 4]: 0.0777417    1 age
	age WORD[ 4,   1]: 0.0777417 而立
TOKEN[ 5]: 0.0704741    1 moreover
	moreover WORD[ 5,   1]: 0.0704741 而も
TOKEN[ 6]: 0.0673421    1 mock
	mock WORD[ 6,   1]: 0.0673421 似而非
TOKEN[ 7]: 0.0647719    1 sham
	sham WORD[ 7,   1]: 0.0647719 似而非
TOKEN[ 8]: 0.0552198    1 false
	false WORD[ 8,   1]: 0.0552198 似而非
