Summary: {Weight} {token}: {words[0:10]}
0.0845454    5 time           : 毎次, 毎々, 毎毎, 毎度, 毎回
0.0844317    1 winter         : 毎冬
0.0826600    1 minute         : 毎分
0.0748393    1 spring         : 毎春
0.0570055    1 issue          : 毎号
0.0550406    1 summer         : 毎夏
0.0518075    2 evening        : 毎夕, 毎夜
0.0517444    1 weekend        : 毎
0.0487294    1 number         : 毎号
0.0389399    1 month          : 毎月
0.0376601    2 night          : 毎夜, 毎晩
0.0306363    1 meal           : 毎食
0.0298786    1 continued      : 毎度
0.0298421    1 term           : 毎期
0.0276122    1 thank          : 毎度
0.0267221    1 week           : 毎週
0.0264256    1 patronage      : 毎度
0.0242303    1 hour           : 毎時
0.0216522    1 autumn         : 毎秋
0.0214247    1 morning        : 毎朝
0.0197356    1 second         : 毎秒
0.0196577    1 round          : 毎回
0.0186240    1 year           : 毎年
0.0184083    1 fall           : 毎秋
0.0177465    1 day            : 毎日

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0845454    5 time
	time WORD[ 1,   1]: 0.0224672 毎次
	time WORD[ 1,   2]: 0.0155208 毎々
	time WORD[ 1,   3]: 0.0155208 毎毎
	time WORD[ 1,   4]: 0.0155201 毎度
	time WORD[ 1,   5]: 0.0155166 毎回
TOKEN[ 2]: 0.0844317    1 winter
	winter WORD[ 2,   1]: 0.0844317 毎冬
TOKEN[ 3]: 0.0826600    1 minute
	minute WORD[ 3,   1]: 0.0826600 毎分
TOKEN[ 4]: 0.0748393    1 spring
	spring WORD[ 4,   1]: 0.0748393 毎春
TOKEN[ 5]: 0.0570055    1 issue
	issue WORD[ 5,   1]: 0.0570055 毎号
TOKEN[ 6]: 0.0550406    1 summer
	summer WORD[ 6,   1]: 0.0550406 毎夏
TOKEN[ 7]: 0.0518075    2 evening
	evening WORD[ 7,   1]: 0.0306369 毎夕
	evening WORD[ 7,   2]: 0.0211706 毎夜
TOKEN[ 8]: 0.0517444    1 weekend
	weekend WORD[ 8,   1]: 0.0258722 毎
TOKEN[ 9]: 0.0487294    1 number
	number WORD[ 9,   1]: 0.0487294 毎号
TOKEN[10]: 0.0389399    1 month
	month WORD[10,   1]: 0.0389399 毎月
TOKEN[11]: 0.0376601    2 night
	night WORD[11,   1]: 0.0188330 毎夜
	night WORD[11,   2]: 0.0188271 毎晩
TOKEN[12]: 0.0306363    1 meal
	meal WORD[12,   1]: 0.0306363 毎食
TOKEN[13]: 0.0298786    1 continued
	continued WORD[13,   1]: 0.0298786 毎度
TOKEN[14]: 0.0298421    1 term
	term WORD[14,   1]: 0.0298421 毎期
TOKEN[15]: 0.0276122    1 thank
	thank WORD[15,   1]: 0.0276122 毎度
TOKEN[16]: 0.0267221    1 week
	week WORD[16,   1]: 0.0267221 毎週
TOKEN[17]: 0.0264256    1 patronage
	patronage WORD[17,   1]: 0.0264256 毎度
TOKEN[18]: 0.0242303    1 hour
	hour WORD[18,   1]: 0.0242303 毎時
TOKEN[19]: 0.0216522    1 autumn
	autumn WORD[19,   1]: 0.0216522 毎秋
TOKEN[20]: 0.0214247    1 morning
	morning WORD[20,   1]: 0.0214247 毎朝
TOKEN[21]: 0.0197356    1 second
	second WORD[21,   1]: 0.0197356 毎秒
TOKEN[22]: 0.0196577    1 round
	round WORD[22,   1]: 0.0196577 毎回
TOKEN[23]: 0.0186240    1 year
	year WORD[23,   1]: 0.0186240 毎年
TOKEN[24]: 0.0184083    1 fall
	fall WORD[24,   1]: 0.0184083 毎秋
TOKEN[25]: 0.0177465    1 day
	day WORD[25,   1]: 0.0177465 毎日
