Summary: {Weight} {token}: {words[0:10]}
0.1455794    6 noon           : 午刻, 午砲, 午すぎ, 午過ぎ, 午, 正午
0.1313844    5 sexagenary     : 戊午, 甲午, 庚午, 丙午, 壬午
0.1194247    5 cycle          : 戊午, 甲午, 庚午, 丙午, 壬午
0.1139167    5 term           : 戊午, 甲午, 庚午, 丙午, 壬午
0.0474377    4 afternoon      : 午すぎ, 午過ぎ, 午后, 午後
0.0437321    3 lunch          : 午, 午飯, 午餐
0.0401045    2 midday         : 午, 正午
0.0295425    1 lunar          : 初午
0.0277096    1 gun            : 午砲
0.0271891    1 daytime        : 午
0.0267222    1 month          : 初午
0.0240036    1 day            : 初午
0.0234604    1 year           : 午年
0.0226293    1 noonday        : 午砲
0.0210128    2 past           : 午すぎ, 午過ぎ
0.0175304    1 worship        : 初午
0.0174019    1 fox            : 初午
0.0157101    1 deity          : 初午
0.0139120    1 horse          : 初午
0.0138316    1 siesta         : 午睡
0.0135692    1 second         : 初午
0.0132838    1 traditional    : 初午
0.0110152    1 nap            : 午睡
0.0110093    1 May            : 端午
0.0103961    1 celebration    : 端午
0.0098673    1 dinner         : 午餐
0.0086242    1 morning        : 午前

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.1455794    6 noon
	noon WORD[ 1,   1]: 0.0666165 午刻
	noon WORD[ 1,   2]: 0.0165276 午砲
	noon WORD[ 1,   3]: 0.0129245 午すぎ
	noon WORD[ 1,   4]: 0.0129244 午過ぎ
	noon WORD[ 1,   5]: 0.0129214 午
	noon WORD[ 1,   6]: 0.0107438 正午
TOKEN[ 2]: 0.1313844    5 sexagenary
	sexagenary WORD[ 2,   1]: 0.0408680 戊午
	sexagenary WORD[ 2,   2]: 0.0308202 甲午
	sexagenary WORD[ 2,   3]: 0.0282881 庚午
	sexagenary WORD[ 2,   4]: 0.0175988 丙午
	sexagenary WORD[ 2,   5]: 0.0138093 壬午
TOKEN[ 3]: 0.1194247    5 cycle
	cycle WORD[ 3,   1]: 0.0371478 戊午
	cycle WORD[ 3,   2]: 0.0280147 甲午
	cycle WORD[ 3,   3]: 0.0257131 庚午
	cycle WORD[ 3,   4]: 0.0159968 丙午
	cycle WORD[ 3,   5]: 0.0125523 壬午
TOKEN[ 4]: 0.1139167    5 term
	term WORD[ 4,   1]: 0.0354345 戊午
	term WORD[ 4,   2]: 0.0267226 甲午
	term WORD[ 4,   3]: 0.0245272 庚午
	term WORD[ 4,   4]: 0.0152590 丙午
	term WORD[ 4,   5]: 0.0119733 壬午
TOKEN[ 5]: 0.0474377    4 afternoon
	afternoon WORD[ 5,   1]: 0.0131050 午すぎ
	afternoon WORD[ 5,   2]: 0.0131050 午過ぎ
	afternoon WORD[ 5,   3]: 0.0106139 午后
	afternoon WORD[ 5,   4]: 0.0106139 午後
TOKEN[ 6]: 0.0437321    3 lunch
	lunch WORD[ 6,   1]: 0.0120786 午
	lunch WORD[ 6,   2]: 0.0097898 午飯
	lunch WORD[ 6,   3]: 0.0097850 午餐
TOKEN[ 7]: 0.0401045    2 midday
	midday WORD[ 7,   1]: 0.0141638 午
	midday WORD[ 7,   2]: 0.0117769 正午
TOKEN[ 8]: 0.0295425    1 lunar
	lunar WORD[ 8,   1]: 0.0295425 初午
TOKEN[ 9]: 0.0277096    1 gun
	gun WORD[ 9,   1]: 0.0277096 午砲
TOKEN[10]: 0.0271891    1 daytime
	daytime WORD[10,   1]: 0.0135945 午
TOKEN[11]: 0.0267222    1 month
	month WORD[11,   1]: 0.0267222 初午
TOKEN[12]: 0.0240036    1 day
	day WORD[12,   1]: 0.0240036 初午
TOKEN[13]: 0.0234604    1 year
	year WORD[13,   1]: 0.0234604 午年
TOKEN[14]: 0.0226293    1 noonday
	noonday WORD[14,   1]: 0.0226293 午砲
TOKEN[15]: 0.0210128    2 past
	past WORD[15,   1]: 0.0105064 午すぎ
	past WORD[15,   2]: 0.0105064 午過ぎ
TOKEN[16]: 0.0175304    1 worship
	worship WORD[16,   1]: 0.0175304 初午
TOKEN[17]: 0.0174019    1 fox
	fox WORD[17,   1]: 0.0174019 初午
TOKEN[18]: 0.0157101    1 deity
	deity WORD[18,   1]: 0.0157101 初午
TOKEN[19]: 0.0139120    1 horse
	horse WORD[19,   1]: 0.0139120 初午
TOKEN[20]: 0.0138316    1 siesta
	siesta WORD[20,   1]: 0.0138316 午睡
TOKEN[21]: 0.0135692    1 second
	second WORD[21,   1]: 0.0135692 初午
TOKEN[22]: 0.0132838    1 traditional
	traditional WORD[22,   1]: 0.0132838 初午
TOKEN[23]: 0.0110152    1 nap
	nap WORD[23,   1]: 0.0110152 午睡
TOKEN[24]: 0.0110093    1 May
	May WORD[24,   1]: 0.0110093 端午
TOKEN[25]: 0.0103961    1 celebration
	celebration WORD[25,   1]: 0.0103961 端午
TOKEN[26]: 0.0098673    1 dinner
	dinner WORD[26,   1]: 0.0098673 午餐
TOKEN[27]: 0.0086242    1 morning
	morning WORD[27,   1]: 0.0086242 午前
