Summary: {Weight} {token}: {words[0:10]}
0.0827171    2 oxidation      : 次亜, 亜
0.0486071    2 state          : 次亜, 亜
0.0354224    1 subhuman       : 亜人
0.0349084    1 suborder       : 亜目
0.0344207    1 subgenus       : 亜属
0.0334164    1 Argentinian    : 亜人
0.0332508    1 subphylum      : 亜門
0.0316314    3 America        : 亜墨利加, 亜米利加, 亜
0.0309929    3 person         : 亜人, 亜流, 亜
0.0276041    2 linseed        : 亜麻仁, 亜麻
0.0268473    2 cake           : 西伯利亜, 西比利亜
0.0263136    2 American       : 亜人, 亜
0.0260816    1 subdivision    : 亜門
0.0242806    1 prosper        : 興亜
0.0235640    1 subspecies     : 亜種
0.0207326    2 Russia         : 露西亜, 魯西亜
0.0194649    1 raising        : 興亜
0.0175554    1 development    : 興亜
0.0158876    1 Linum          : 亜麻
0.0158617    1 chalk          : 白亜
0.0158066    2 sponge         : 西伯利亜, 西比利亜
0.0149723    1 lignite        : 亜炭
0.0149471    1 making         : 興亜
0.0144689    1 flaxseed       : 亜麻仁
0.0137765    2 second         : 亜聖, 亜ぐ
0.0133618    1 flax           : 亜麻
0.0131457    1 next           : 亜ぐ
0.0129183    2 bean           : 西伯利亜, 西比利亜
0.0128098    1 rank           : 亜ぐ
0.0127829    2 paste          : 西伯利亜, 西比利亜
0.0121515    2 inferior       : 亜流, 亜
0.0119857    2 sweet          : 西伯利亜, 西比利亜
0.0117434    2 mass           : 亜墨利加, 亜米利加
0.0116430    1 sage           : 亜聖
0.0109500    1 rock           : 白亜
0.0108790    1 come           : 亜ぐ
0.0104092    1 wall           : 白亜
0.0102556    1 coal           : 亜炭
0.0102544    2 made           : 西伯利亜, 西比利亜
0.0097012    1 epigone        : 亜流
0.0094281    2 land           : 亜墨利加, 亜米利加
0.0093723    1 white          : 白亜
0.0091594    1 brown          : 亜炭
0.0088357    1 dumbbell       : 亜鈴
0.0086025    1 imitator       : 亜流
0.0083110    1 Argentina      : 亜
0.0082811    1 copycat        : 亜流
0.0076096    1 adherent       : 亜流
0.0072095    1 order          : 亜聖
0.0071599    1 zinc           : 亜鉛
0.0071500    1 belonging      : 亜流
0.0070545    1 follow         : 亜ぐ
0.0066167    1 follower       : 亜流
0.0062086    1 imitation      : 亜流
0.0056666    1 car            : 起亜
0.0053674    1 thought        : 亜流
0.0052047    1 poor           : 亜流
0.0050582    1 company        : 起亜
0.0049589    1 low            : 亜
0.0042215    1 school         : 亜流

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0827171    2 oxidation
	oxidation WORD[ 1,   1]: 0.0748657 次亜
	oxidation WORD[ 1,   2]: 0.0078515 亜
TOKEN[ 2]: 0.0486071    2 state
	state WORD[ 2,   1]: 0.0439933 次亜
	state WORD[ 2,   2]: 0.0046138 亜
TOKEN[ 3]: 0.0354224    1 subhuman
	subhuman WORD[ 3,   1]: 0.0354224 亜人
TOKEN[ 4]: 0.0349084    1 suborder
	suborder WORD[ 4,   1]: 0.0349084 亜目
TOKEN[ 5]: 0.0344207    1 subgenus
	subgenus WORD[ 5,   1]: 0.0344207 亜属
TOKEN[ 6]: 0.0334164    1 Argentinian
	Argentinian WORD[ 6,   1]: 0.0334164 亜人
TOKEN[ 7]: 0.0332508    1 subphylum
	subphylum WORD[ 7,   1]: 0.0332508 亜門
TOKEN[ 8]: 0.0316314    3 America
	America WORD[ 8,   1]: 0.0126805 亜墨利加
	America WORD[ 8,   2]: 0.0126805 亜米利加
	America WORD[ 8,   3]: 0.0062705 亜
TOKEN[ 9]: 0.0309929    3 person
	person WORD[ 9,   1]: 0.0243653 亜人
	person WORD[ 9,   2]: 0.0033365 亜流
	person WORD[ 9,   3]: 0.0032911 亜
TOKEN[10]: 0.0276041    2 linseed
	linseed WORD[10,   1]: 0.0138055 亜麻仁
	linseed WORD[10,   2]: 0.0137986 亜麻
TOKEN[11]: 0.0268473    2 cake
	cake WORD[11,   1]: 0.0134237 西伯利亜
	cake WORD[11,   2]: 0.0134236 西比利亜
TOKEN[12]: 0.0263136    2 American
	American WORD[12,   1]: 0.0207170 亜人
	American WORD[12,   2]: 0.0055966 亜
TOKEN[13]: 0.0260816    1 subdivision
	subdivision WORD[13,   1]: 0.0260816 亜門
TOKEN[14]: 0.0242806    1 prosper
	prosper WORD[14,   1]: 0.0242806 興亜
TOKEN[15]: 0.0235640    1 subspecies
	subspecies WORD[15,   1]: 0.0235640 亜種
TOKEN[16]: 0.0207326    2 Russia
	Russia WORD[16,   1]: 0.0103663 露西亜
	Russia WORD[16,   2]: 0.0103663 魯西亜
TOKEN[17]: 0.0194649    1 raising
	raising WORD[17,   1]: 0.0194649 興亜
TOKEN[18]: 0.0175554    1 development
	development WORD[18,   1]: 0.0175554 興亜
TOKEN[19]: 0.0158876    1 Linum
	Linum WORD[19,   1]: 0.0158876 亜麻
TOKEN[20]: 0.0158617    1 chalk
	chalk WORD[20,   1]: 0.0158617 白亜
TOKEN[21]: 0.0158066    2 sponge
	sponge WORD[21,   1]: 0.0079033 西伯利亜
