Summary: {Weight} {token}: {words[0:10]}
0.0532707    3 less           : 以内, 以上, 以下
0.0363484    1 south          : 以南
0.0300141    1 moreover       : 以て
0.0297885    1 emphasis       : 以て
0.0293780    1 preceding      : 以て
0.0286039    1 today          : 以て
0.0274259    1 excepting      : 以外
0.0265818    1 grounds        : 所以
0.0264128    1 unreasonable   : 以ての外
0.0260857    1 northward      : 以北
0.0256260    1 absurd         : 以ての外
0.0248367    1 date           : 以て
0.0245466    1 addition       : 以て
0.0244883    1 eastward       : 以東
0.0243636    1 end            : 以上
0.0239120    1 foregoing      : 以上
0.0235147    1 westward       : 以西
0.0232715    1 henceforth     : 以来
0.0232712    1 reason         : 所以
0.0226469    1 due            : 以て
0.0225557    1 account        : 以て
0.0211445    1 hereafter      : 以後
0.0211440    1 onward         : 以降
0.0210307    1 upwards        : 以上
0.0208197    1 beneath        : 以下
0.0207048    1 exceeding      : 以下
0.0205135    1 word           : 以て
0.0202135    1 excluding      : 以外
0.0188965    1 exception      : 以外
0.0180581    1 day            : 以て
0.0180509    1 west           : 以西
0.0179534    1 syllabary      : 以呂波
0.0177241    1 north          : 以北
0.0177013    1 east           : 以東
0.0167634    1 seeing         : 以上
0.0161042    1 following      : 以下
0.0159917    1 time           : 以て
0.0156044    1 standard       : 以下
0.0155033    1 rest           : 以下
0.0154295    1 past           : 以前
0.0147781    1 level          : 以下
0.0144760    1 times          : 以前
0.0142572    1 former         : 以前
0.0133894    1 traditional    : 以呂波
0.0099253    1 Japanese       : 以呂波
0.0068793    1 one            : 以上

--------------------------------------------------------------------------------

TOKEN[ 1]: 0.0532707    3 less
	less WORD[ 1,   1]: 0.0178238 以内
	less WORD[ 1,   2]: 0.0177615 以上
	less WORD[ 1,   3]: 0.0176855 以下
TOKEN[ 2]: 0.0363484    1 south
	south WORD[ 2,   1]: 0.0363484 以南
TOKEN[ 3]: 0.0300141    1 moreover
	moreover WORD[ 3,   1]: 0.0300141 以て
TOKEN[ 4]: 0.0297885    1 emphasis
	emphasis WORD[ 4,   1]: 0.0297885 以て
TOKEN[ 5]: 0.0293780    1 preceding
	preceding WORD[ 5,   1]: 0.0293780 以て
TOKEN[ 6]: 0.0286039    1 today
	today WORD[ 6,   1]: 0.0286039 以て
TOKEN[ 7]: 0.0274259    1 excepting
	excepting WORD[ 7,   1]: 0.0274259 以外
TOKEN[ 8]: 0.0265818    1 grounds
	grounds WORD[ 8,   1]: 0.0265818 所以
TOKEN[ 9]: 0.0264128    1 unreasonable
	unreasonable WORD[ 9,   1]: 0.0264128 以ての外
TOKEN[10]: 0.0260857    1 northward
	northward WORD[10,   1]: 0.0260857 以北
TOKEN[11]: 0.0256260    1 absurd
	absurd WORD[11,   1]: 0.0256260 以ての外
TOKEN[12]: 0.0248367    1 date
	date WORD[12,   1]: 0.0248367 以て
TOKEN[13]: 0.0245466    1 addition
	addition WORD[13,   1]: 0.0245466 以て
TOKEN[14]: 0.0244883    1 eastward
	eastward WORD[14,   1]: 0.0244883 以東
TOKEN[15]: 0.0243636    1 end
	end WORD[15,   1]: 0.0243636 以上
TOKEN[16]: 0.0239120    1 foregoing
	foregoing WORD[16,   1]: 0.0239120 以上
TOKEN[17]: 0.0235147    1 westward
	westward WORD[17,   1]: 0.0235147 以西
TOKEN[18]: 0.0232715    1 henceforth
	henceforth WORD[18,   1]: 0.0232715 以来
TOKEN[19]: 0.0232712    1 reason
	reason WORD[19,   1]: 0.0232712 所以
TOKEN[20]: 0.0226469    1 due
	due WORD[20,   1]: 0.0226469 以て
TOKEN[21]: 0.0225557    1 account
	account WORD[21,   1]: 0.0225557 以て
TOKEN[22]: 0.0211445    1 hereafter
	hereafter WORD[22,   1]: 0.0211445 以後
TOKEN[23]: 0.0211440    1 onward
	onward WORD[23,   1]: 0.0211440 以降
TOKEN[24]: 0.0210307    1 upwards
	upwards WORD[24,   1]: 0.0210307 以上
TOKEN[25]: 0.0208197    1 beneath
	beneath WORD[25,   1]: 0.0208197 以下
TOKEN[26]: 0.0207048    1 exceeding
	exceeding WORD[26,   1]: 0.0207048 以下
TOKEN[27]: 0.0205135    1 word
	word WORD[27,   1]: 0.0205135 以て
TOKEN[28]: 0.0202135    1 excluding
